Datadase	Asscession	Known/Putative? 	Datadase	Asscession	Known/Putative? 	Datadase	Asscession	Known/Putative? 
Enzyme Commission	3.1.3.1	Known	KEGG	K07048	Known	Pfam	PF08042	Known
Enzyme Commission	3.1.3.2	Known	KEGG	K01077	Known	Pfam	PF03070	Known
Enzyme Commission	3.1.3.8	Known	KEGG	K01113	Known	Pfam	PF00245	Known
Enzyme Commission	3.1.3.26	Known	KEGG	K07093	Known	Pfam	PF05787	Known
Enzyme Commission	3.1.4.46	Known	KEGG	K09474	Known	Pfam	PF08665	Known
Enzyme Commission	3.1.1.17	Known	KEGG	K03788	Known	Pfam	PF12689	Known
Enzyme Commission	4.2.1.140	Known	KEGG	K01078	Known	Pfam	PF16656	Known
Enzyme Commission	2.7.1.12	Known	KEGG	K01083	Known	Pfam	PF14008	Known
Enzyme Commission	1.1.1.69	Known	KEGG	K01093	Known	Pfam	PF17808	Known
Enzyme Commission	1.1.1.215	Known	KEGG	K01126	Known	Pfam	PF06888	Known
Enzyme Commission	1.1.99.3	Known	KEGG	K01126	Known	Pfam	PF02333	Known
Enzyme Commission	2.4.1.231	Known	KEGG	K00117	Known	Pfam	PF14566	Known
Enzyme Commission	1.1.5.8	Known	KEGG	K06137	Known	Pfam	PF13449	Known
Enzyme Commission	1.2.5.2	Known	KEGG	K01841	Putative	Pfam	PF00016	Putative
Enzyme Commission	1.3.3.11	Known	KEGG	K23999	Putative	Pfam	PF00044	Putative
Enzyme Commission	1.1.5.2	Known	KEGG	K19669	Putative	Pfam	PF00068	Putative
Enzyme Commission	1.1.1.7	Putative	KEGG	K21934	Putative	Pfam	PF00101	Putative
Enzyme Commission	1.1.1.8	Putative	KEGG	K09459	Putative	Pfam	PF00102	Putative
Enzyme Commission	1.1.1.17	Putative	KEGG	K05306	Putative	Pfam	PF00121	Putative
Enzyme Commission	1.1.1.43	Putative	KEGG	K19670	Putative	Pfam	PF00149	Putative
Enzyme Commission	1.1.1.44	Putative	KEGG	K00206	Putative	Pfam	PF00156	Putative
Enzyme Commission	1.1.1.49	Putative	KEGG	K03430	Putative	Pfam	PF00162	Putative
Enzyme Commission	1.1.1.94	Putative	KEGG	K09994	Putative	Pfam	PF00205	Putative
Enzyme Commission	1.1.1.95	Putative	KEGG	K21195	Putative	Pfam	PF00215	Putative
Enzyme Commission	1.1.1.101	Putative	KEGG	K21196	Putative	Pfam	PF00217	Putative
Enzyme Commission	1.1.1.137	Putative	KEGG	K05915	Putative	Pfam	PF00218	Putative
Enzyme Commission	1.1.1.140	Putative	KEGG	K00967	Putative	Pfam	PF00233	Putative
Enzyme Commission	1.1.1.177	Putative	KEGG	K25574	Putative	Pfam	PF00245	Putative
Enzyme Commission	1.1.1.193	Putative	KEGG	K00993	Putative	Pfam	PF00274	Putative
Enzyme Commission	1.1.1.200	Putative	KEGG	K13644	Putative	Pfam	PF00275	Putative
Enzyme Commission	1.1.1.224	Putative	KEGG	K00968	Putative	Pfam	PF00291	Putative
Enzyme Commission	1.1.1.251	Putative	KEGG	K00994	Putative	Pfam	PF00300	Putative
Enzyme Commission	1.1.1.261	Putative	KEGG	K12901	Putative	Pfam	PF00311	Putative
Enzyme Commission	1.1.1.262	Putative	KEGG	K12904	Putative	Pfam	PF00316	Putative
Enzyme Commission	1.1.1.267	Putative	KEGG	K12905	Putative	Pfam	PF00328	Putative
Enzyme Commission	1.1.1.290	Putative	KEGG	K12906	Putative	Pfam	PF00334	Putative
Enzyme Commission	1.1.1.301	Putative	KEGG	K12907	Putative	Pfam	PF00342	Putative
Enzyme Commission	1.1.1.302	Putative	KEGG	K12908	Putative	Pfam	PF00343	Putative
Enzyme Commission	1.1.1.309	Putative	KEGG	K12909	Putative	Pfam	PF00358	Putative
Enzyme Commission	1.1.1.333	Putative	KEGG	K12910	Putative	Pfam	PF00359	Putative
Enzyme Commission	1.1.1.343	Putative	KEGG	K20930	Putative	Pfam	PF00365	Putative
Enzyme Commission	1.1.1.351	Putative	KEGG	K03823	Putative	Pfam	PF00367	Putative
Enzyme Commission	1.1.1.361	Putative	KEGG	K12911	Putative	Pfam	PF00381	Putative
Enzyme Commission	1.1.1.363	Putative	KEGG	K12912	Putative	Pfam	PF00387	Putative
Enzyme Commission	1.1.1.388	Putative	KEGG	K12913	Putative	Pfam	PF00388	Putative
Enzyme Commission	1.1.1.402	Putative	KEGG	K12914	Putative	Pfam	PF00393	Putative
Enzyme Commission	1.1.1.405	Putative	KEGG	K12915	Putative	Pfam	PF00408	Putative
Enzyme Commission	1.1.1.408	Putative	KEGG	K18049	Putative	Pfam	PF00454	Putative
Enzyme Commission	1.1.1.409	Putative	KEGG	K23996	Putative	Pfam	PF00456	Putative
Enzyme Commission	1.1.3.21	Putative	KEGG	K06164	Putative	Pfam	PF00459	Putative
Enzyme Commission	1.1.5.3	Putative	KEGG	K06166	Putative	Pfam	PF00475	Putative
