Gene product	pathway	EC_rank	p_fate	secreted
propionyl-CoA carboxylase alpha chain	Carbon fixation	Ligases	Released from [X]TP	YES
phosphoenolpyruvate carboxylase	Carbon fixation	Lysases	On product	YES
phosphoglycerate kinase	Carbon fixation	Transferases	On product	YES
pyruvate,water dikinase	Carbon fixation	Transferases	On product	YES
phosphate acetyltransferase	Carbon fixation	Transferases	On product	YES
undecaprenyl-diphosphatase	General or Unknown Metabolism	Hydrolases	Mineralized from organic matter	YES
3'(2'), 5'-bisphosphate nucleotidase	General or Unknown Metabolism	Hydrolases	Mineralized from organic matter	YES
endonuclease/exonuclease/phosphatase (EEP) superfamily protein YafD	General or Unknown Metabolism	Hydrolases	Mineralized from organic matter	YES
endonuclease/exonuclease/phosphatase family metal-dependent hydrolase	General or Unknown Metabolism	Hydrolases	Mineralized from organic matter	YES
2-phosphosulfolactate phosphatase	General or Unknown Metabolism	Hydrolases	Mineralized from organic matter	YES
phosphohistidine phosphatase SixA	General or Unknown Metabolism	Hydrolases	Mineralized from organic matter	YES
protein phosphatase	General or Unknown Metabolism	Hydrolases	Mineralized from organic matter	YES
serine/threonine-protein phosphatase PGAM5	General or Unknown Metabolism	Hydrolases	Mineralized from organic matter	YES
trehalose 6-phosphate phosphatase	General or Unknown Metabolism	Hydrolases	Mineralized from organic matter	YES
uncharacterized protein (TIRG00374 family)	General or Unknown Metabolism	Hydrolases	Mineralized from organic matter	YES
2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase	General or Unknown Metabolism	Hydrolases	Mineralized from organic matter	NO
HAD superfamily phosphoserine phosphatase-like hydrolase	General or Unknown Metabolism	Hydrolases	Mineralized from organic matter	NO
predicted HAD superfamily phosphohydrolase	General or Unknown Metabolism	Hydrolases	Mineralized from organic matter	NO
putative hydrolase of the HAD superfamily	General or Unknown Metabolism	Hydrolases	Mineralized from organic matter	NO
exodeoxyribonuclease-3	General or Unknown Metabolism	Hydrolases	On product	YES
6-phosphogluconolactonase	General or Unknown Metabolism	Hydrolases	Remains on product	YES
phosphotriesterase-related protein	General or Unknown Metabolism	Hydrolases	Remains on product	YES
RNA 3'-terminal phosphate cyclase (ATP)	General or Unknown Metabolism	Ligases	On product	YES
lysyl-tRNA synthetase class 2	General or Unknown Metabolism	Ligases	Released from [X]TP	YES
threonine synthase	General or Unknown Metabolism	Lysases	Mineralized from organic matter	YES
phosphoserine phosphatase	General or Unknown Metabolism	Lysases	Mineralized from organic matter	NO
sulfopyruvate decarboxylase subunit beta	General or Unknown Metabolism	Lysases	No P	YES
imidazoleglycerol-phosphate dehydratase	General or Unknown Metabolism	Lysases	On product	YES
phosphosulfolactate synthase	General or Unknown Metabolism	Lysases	Remains on product	YES
indole-3-glycerol phosphate synthase	General or Unknown Metabolism	Lysases	Remains on product	YES
4-hydroxy-L-threonine phosphate dehydrogenase PdxA	General or Unknown Metabolism	Oxidoreductases	Remains on product	YES
4-hydroxythreonine-4-phosphate dehydrogenase	General or Unknown Metabolism	Oxidoreductases	Remains on product	YES
general stress protein 26	General or Unknown Metabolism	Oxidoreductases	Remains on product	YES
nitroimidazol reductase NimA-like FMN-containing flavoprotein (pyridoxamine 5'-phosphate oxidase superfamily)	General or Unknown Metabolism	Oxidoreductases	Remains on product	YES
predicted pyridoxine 5'-phosphate oxidase superfamily flavin-nucleotide-binding protein	General or Unknown Metabolism	Oxidoreductases	Remains on product	YES
PPOX class probable F420-dependent enzyme	General or Unknown Metabolism	Oxidoreductases	Unknown	YES
PPOX class probable FMN-dependent enzyme	General or Unknown Metabolism	Oxidoreductases	Unknown	YES
3-phosphoshikimate 1-carboxyvinyltransferase	General or Unknown Metabolism	Transferases	Mineralized from organic matter	YES
5'-methylthioadenosine phosphorylase	General or Unknown Metabolism	Transferases	On product	YES
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	General or Unknown Metabolism	Transferases	On product	YES
adenosylcobinamide-GDP ribazoletransferase	General or Unknown Metabolism	Transferases	On product	YES
nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	General or Unknown Metabolism	Transferases	On product	YES
PPK2 family polyphosphate:nucleotide phosphotransferase	General or Unknown Metabolism	Transferases	On product	YES
mannosyltransferase	General or Unknown Metabolism	Transferases	On product	YES
nicotinate-nucleotide pyrophosphorylase (carboxylating)	General or Unknown Metabolism	Transferases	On product	YES
