SampleID,Plot,Gradient,Elevation_est,Elev_cat,Elevation_m,Date,SSU_SID,metaG_SID,metaG_SID2,Week,DayofYear,GWC,SOC.percent,pH,phosphate.g.g-1,NH4.ug.g-1,AM_hyphal_length_mm g-1,MBC.g.kg,sand.percent,silt.percent,clay.percent,texture_class,bulk_density,Lat,Long
HH_27_wk_1,HH_27,HH,2700,low,2700,7/2/18,RMBL_DOESnowmelt_HH27_702,NA,NA,1,183,0.02,1.46,7.37,3.22,0.81,2977.43007,101.08,34.05,16.49,49.46,clay,1.01,38.824473,-106.85138
HH_27_wk_2,HH_27,HH,2700,low,2700,7/9/18,RMBL_DOESnowmelt_HH27_709,NA,NA,2,190,0.14,1.69,7.37,13.64,1.7,4698.16947,6.86,,,,clay,0.76,38.824473,-106.85138
HH_27_wk_3,HH_27,HH,2700,low,2700,7/16/18,RMBL_DOESnowmelt_HH27_717,NA,NA,3,197,0.12,1.77,7.25,9.35,0.57,,9.2,,,,clay,0.57,38.824473,-106.85138
HH_27_wk_4,HH_27,HH,2700,low,2700,7/22/18,RMBL_DOESnowmelt_HH27_722,NA,NA,4,203,0.03,1.54,7.01,9.62,5.79,,,,,,clay,1.13,38.824473,-106.85138
HH_27_wk_5,HH_27,HH,2700,low,2700,7/31/18,RMBL_DOESnowmelt_HH27_731,NA,NA,5,212,0.05,1.67,7.37,,5.89,,,,,,clay,1.18,38.824473,-106.85138
A_27_wk_2,A_27,A,2700,low,2710.5,7/8/18,RMBL_DOESnowmelt_A27_708,3300041775,Ga0450682,2,189,0.08,1.77,6,14.09,2.9,1642.0266,24,,,,clay,0.84,38.8654827,-106.91236
A_27_wk_3,A_27,A,2700,low,2710.5,7/15/18,RMBL_DOESnowmelt_A27_716,3300041789,Ga0450700,3,196,0.05,1.62,6.1,12.01,2.2,4903.08253,28.59,,,,clay,0.94,38.8654827,-106.91236
A_27_wk_4,A_27,A,2700,low,2710.5,7/22/18,RMBL_DOESnowmelt_A27_722,3300041805,Ga0450718,4,203,0.03,1.92,6.09,12.77,2.56,5240.46779,45.93,,,,clay,0.83,38.8654827,-106.91236
A_27_wk_5,A_27,A,2700,low,2710.5,7/31/18,RMBL_DOESnowmelt_A27_731,3300041822,Ga0450736,5,212,0.03,1.08,6.05,,7.39,3602.89112,,,,,clay,1.14,38.8654827,-106.91236
A_27_wk_1,A_27,A,2700,low,2710.5,7/1/18,RMBL_DOESnowmelt_A27_701,NA,NA,1,182,0.03,1.91,6.24,16.53,1.3,1034.00439,,25.76,22.27,51.97,clay,0.86,38.8654827,-106.91236
TR_27_wk_2,TR_27,TR,2700,low,2747.44,7/9/18,RMBL_DOESnowmelt_TR27_709,3300041784,Ga0450694,2,190,0.17,2.32,6.51,13.71,8.84,3254.67961,14.28,,,,clay,0.73,38.9186175,-107.03628
TR_27_wk_3,TR_27,TR,2700,low,2747.44,7/16/18,RMBL_DOESnowmelt_TR27_717,3300041800,Ga0450712,3,197,0.07,1.14,6.28,4.7,6.97,2772.86556,,,,,clay,0.99,38.9186175,-107.03628
TR_27_wk_4,TR_27,TR,2700,low,2747.44,7/23/18,RMBL_DOESnowmelt_TR27_723,3300041816,Ga0450730,4,204,0.06,1.55,6.24,1.96,8.06,3224.47251,3.44,,,,clay,1.04,38.9186175,-107.03628
TR_27_wk_5,TR_27,TR,2700,low,2747.44,7/31/18,RMBL_DOESnowmelt_TR27_731,3300041838,Ga0450748,5,212,0.05,1.19,6.57,,9.51,1706.9923,15.1,,,,clay,1.26,38.9186175,-107.03628
TR_27_wk_1,TR_27,TR,2700,low,2747.44,7/2/18,RMBL_DOESnowmelt_TR27_702,NA,NA,1,183,0.01,1.2,6.34,9.77,2.54,2394.88969,17.93,33.47,23.29,43.25,clay,1.26,38.9186175,-107.03628
